"id","area_name","updated_at","created_at"
"1","Sydney","2022-09-23 17:42:59","2022-09-23 17:42:59"
"2","Brisbane","2022-09-23 17:43:13","2022-09-23 17:43:13"
"3","Perth","2022-09-23 17:43:13","2022-09-23 17:43:13"
"4","Adelaide","2022-09-23 17:43:32","2022-09-23 17:43:32"
"5","Melbourne","2022-09-23 17:43:32","2022-09-23 17:43:32"
"id","volunteer_id","weekly","fortnightly","monthly","full_day","half_day_morning","half_day_afternoon","monday","tuesday","wednesday","thursday","friday","saturday","updated_at","created_at"
"3","201","2","1","1","1","1","1","2","1","1","1","1","2","2022-09-06 17:30:33","2022-09-06 17:30:33"
"4","202","2","1","1","2","2","1","1","1","1","2","2","1","2022-09-06 17:30:33","2022-09-06 17:30:33"
"5","3","2","1","2","2","2","2","2","1","2","2","2","1","2022-09-06 17:30:33","2022-09-06 17:30:33"
"6","4","2","2","2","1","2","1","2","1","2","1","1","1","2022-09-06 17:30:33","2022-09-06 17:30:33"
"7","5","2","2","1","1","1","1","1","2","2","2","2","2","2022-09-06 17:30:33","2022-09-06 17:30:33"
"8","6","2","1","1","2","2","1","2","1","2","2","2","2","2022-09-06 17:30:33","2022-09-06 17:30:33"
"9","7","2","2","2","2","1","1","1","1","1","1","1","2","2022-09-06 17:30:33","2022-09-06 17:30:33"
"10","8","2","1","2","1","1","2","2","2","2","2","2","2","2022-09-06 17:30:33","2022-09-06 17:30:33"
"11","9","2","1","2","2","2","1","1","1","1","2","2","1","2022-09-06 17:30:33","2022-09-06 17:30:33"
"12","10","1","2","2","1","2","2","1","1","2","2","2","2","2022-09-06 17:30:33","2022-09-06 17:30:33"
"13","11","2","2","2","2","1","1","1","2","2","1","2","1","2022-09-06 17:30:33","2022-09-06 17:30:33"
"14","12","2","2","1","1","2","2","2","1","1","2","2","1","2022-09-06 17:30:33","2022-09-06 17:30:33"
"15","13","2","1","1","1","2","2","2","1","2","2","1","1","2022-09-06 17:30:33","2022-09-06 17:30:33"
"16","14","2","1","1","2","1","2","2","2","2","2","1","1","2022-09-06 17:30:33","2022-09-06 17:30:33"
"17","15","1","2","2","2","2","1","1","2","1","2","2","1","2022-09-06 17:30:33","2022-09-06 17:30:33"
"18","16","2","2","2","2","2","2","2","1","1","1","1","1","2022-09-06 17:30:33","2022-09-06 17:30:33"
"19","17","1","1","2","2","1","1","1","2","1","2","2","2","2022-09-06 17:30:33","2022-09-06 17:30:33"
"20","18","1","1","2","1","1","2","2","1","1","1","1","1","2022-09-06 17:30:33","2022-09-06 17:30:33"
"21","19","1","2","1","1","2","2","2","1","2","1","2","1","2022-09-06 17:30:33","2022-09-06 17:30:33"
"22","20","2","2","2","1","1","1","2","1","1","1","1","2","2022-09-06 17:30:33","2022-09-06 17:30:33"
"23","21","2","2","1","2","1","1","1","2","2","1","1","2","2022-09-06 17:30:33","2022-09-06 17:30:33"
"24","22","1","2","2","2","2","1","2","1","2","1","1","2","2022-09-06 17:30:33","2022-09-06 17:30:33"
"25","23","1","1","2","2","1","1","2","2","2","1","2","1","2022-09-06 17:30:33","2022-09-06 17:30:33"
"26","24","2","2","2","1","2","2","2","1","1","2","1","1","2022-09-06 17:30:33","2022-09-06 17:30:33"
"27","25","1","1","2","2","1","1","2","1","1","2","2","1","2022-09-06 17:30:33","2022-09-06 17:30:33"
"28","26","1","1","2","1","1","2","1","1","1","2","1","2","2022-09-06 17:30:33","2022-09-06 17:30:33"
"29","27","1","1","1","1","1","1","1","1","2","1","1","1","2022-09-06 17:30:33","2022-09-06 17:30:33"
"30","28","2","1","1","1","2","1","2","1","1","2","1","2","2022-09-06 17:30:33","2022-09-06 17:30:33"
"31","29","2","1","1","1","2","1","2","2","1","2","2","1","2022-09-06 17:30:33","2022-09-06 17:30:33"
"32","30","1","1","2","1","1","1","1","1","2","1","1","2","2022-09-06 17:30:33","2022-09-06 17:30:33"
"33","31","2","2","2","2","2","1","2","1","2","1","1","2","2022-09-06 17:30:33","2022-09-06 17:30:33"
