Album,Artist,Bytes,City,Company,Composer,Country,CustomerID,Email,FirstName,Genre,InvoiceDate,InvoiceID,LastName,MediaType,Milliseconds,Number of Records,Phone,PostalCode,Quantity,Region,State,Track,UnitPrice
Balls to the Wall,Accept,5.51M,Stuttgart,,,Germany,2,leonekohler@surfeu.de,Leonie,Rock,1/01/2008 12:00:00 AM,1,Kahler,Protected AAC audio file,342562,1,+49 0711 2842222,70174,4,Europe,,Balls to the Wall,0.99
Restless and Wild,Accept,4.33M,Stuttgart,,"F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman",Germany,2,leonekohler@surfeu.de,Leonie,Rock,1/01/2008 12:00:00 AM,1,Kahler,Protected AAC audio file,252051,1,+49 0711 2842222,70174,4,Europe,,Restless and Wild,0.99
For Those About To Rock We Salute You,AC/DC,8.60M,Oslo,,"Angus Young, Malcolm Young, Brian Johnson",Norway,4,bjorn.hansen@yahoo.no,Bjarn,Rock,2/01/2008 12:00:00 AM,2,Hansen,MPEG audio file,263288,1,+47 22 44 22 22,171,1,Europe,,Breaking The Rules,0.99
For Those About To Rock We Salute You,AC/DC,6.85M,Oslo,,"Angus Young, Malcolm Young, Brian Johnson",Norway,4,bjorn.hansen@yahoo.no,Bjarn,Rock,2/01/2008 12:00:00 AM,2,Hansen,MPEG audio file,210834,1,+47 22 44 22 22,171,2,Europe,,Inject The Venom,0.99
For Those About To Rock We Salute You,AC/DC,8.61M,Oslo,,"Angus Young, Malcolm Young, Brian Johnson",Norway,4,bjorn.hansen@yahoo.no,Bjarn,Rock,2/01/2008 12:00:00 AM,2,Hansen,MPEG audio file,263497,1,+47 22 44 22 22,171,2,Europe,,Evil Walks,0.99
For Those About To Rock We Salute You,AC/DC,6.71M,Oslo,,"Angus Young, Malcolm Young, Brian Johnson",Norway,4,bjorn.hansen@yahoo.no,Bjarn,Rock,2/01/2008 12:00:00 AM,2,Hansen,MPEG audio file,205662,1,+47 22 44 22 22,171,5,Europe,,Put The Finger On You,0.99
Let There Be Rock,AC/DC,7.03M,Brussels,,AC/DC,Belgium,8,daan_peeters@apple.be,Daan,Rock,3/01/2008 12:00:00 AM,3,Peeters,MPEG audio file,215196,1,+32 02 219 03 03,1000,1,Europe,,Dog Eat Dog,0.99
Let There Be Rock,AC/DC,12.07M,Brussels,,AC/DC,Belgium,8,daan_peeters@apple.be,Daan,Rock,3/01/2008 12:00:00 AM,3,Peeters,MPEG audio file,369319,1,+32 02 219 03 03,1000,2,Europe,,Overdose,0.99
Big Ones,Aerosmith,9.99M,Brussels,,"Steven Tyler, Desmond Child",Belgium,8,daan_peeters@apple.be,Daan,Rock,3/01/2008 12:00:00 AM,3,Peeters,MPEG audio file,307617,1,+32 02 219 03 03,1000,2,Europe,,Angel,0.99
Big Ones,Aerosmith,10.55M,Brussels,,"Steven Tyler, Joe Perry",Belgium,8,daan_peeters@apple.be,Daan,Rock,3/01/2008 12:00:00 AM,3,Peeters,MPEG audio file,321828,1,+32 02 219 03 03,1000,4,Europe,,Love In An Elevator,0.99
